condition,hemi,x,mean,se
intact_pause,Right PMC,-15,-0.075465766904038514,0.048020790554400276
intact_pause,Right PMC,-14,-0.06626374495278084,0.045831009016743848
intact_pause,Right PMC,-13,-0.076189619342253961,0.044756342694875724
intact_pause,Right PMC,-12,-0.045283792828624075,0.03812786445287987
intact_pause,Right PMC,-11,-0.03135500566882593,0.039543656455714241
intact_pause,Right PMC,-10,-0.0034899386825650129,0.042123562182658454
intact_pause,Right PMC,-9,0.01309243325095787,0.039735961047665823
intact_pause,Right PMC,-8,-0.013458380955239366,0.034318375746765231
intact_pause,Right PMC,-7,0.0083098034206974987,0.034090503487927235
intact_pause,Right PMC,-6,-0.029958478954108327,0.025625478104616562
intact_pause,Right PMC,-5,-0.026411970835894982,0.027743451883356723
intact_pause,Right PMC,-4,-0.045122199495495001,0.021152082441576684
intact_pause,Right PMC,-3,-0.061264395986751839,0.030040069612090034
intact_pause,Right PMC,-2,-0.093111706137608594,0.032156495410766879
intact_pause,Right PMC,-1,-0.090510129946082332,0.041182536562516872
intact_pause,Right PMC,0,-0.12764919067080863,0.03734598863502657
intact_pause,Right PMC,1,-0.11324196765133454,0.042770399076317973
intact_pause,Right PMC,2,0.060425293997234765,0.053594048391817986
intact_pause,Right PMC,3,0.17528439317463701,0.046750064507116676
intact_pause,Right PMC,4,0.21979113333656244,0.041945190808247781
intact_pause,Right PMC,5,0.13103256722724843,0.039130181043162286
intact_pause,Right PMC,6,0.076511080804424592,0.044453009829820818
intact_pause,Right PMC,7,0.047147520539353872,0.047399351269379796
intact_pause,Right PMC,8,0.033929596815757974,0.03839726632949398
intact_pause,Right PMC,9,0.049764681162247935,0.030628175088528001
intact_pause,Right PMC,10,-0.014369790307818171,0.029317960591871122
intact_pause,Right PMC,11,-0.060453769058852705,0.032319771501101886
intact_pause,Right PMC,12,-0.031816955229937237,0.036450674775557981
intact_pause,Right PMC,13,-0.018937756919082855,0.043258087920682885
intact_pause,Right PMC,14,0.0026827998636199902,0.047851619541919965
intact_pause,Right PMC,15,0.014230134999031854,0.052408599576182505
