parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,Dorsal attention,-31.8,-84.1,27.0,0.04202022334730097,2.176815539558132,0.043048630722077166,0.05100350053276712,False
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,Dorsal attention,-26.4,-70.1,30.4,0.0755419900026233,3.9352901208652002,0.0009700553497544121,0.0016441616097532408,True
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,Dorsal attention,-21.2,-78.6,44.7,0.047319341860537094,1.6579188168600518,0.11465869946980765,0.1266946955467488,False
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,Dorsal attention,-22.7,-65.5,46.4,0.08160079353421067,3.3076872218285436,0.003914310895436256,0.005632102007821951,True
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,Dorsal attention,-28.7,-58.0,50.6,0.06837349533719804,3.3768965354551854,0.0033589994966586375,0.00492161098411522,True
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,Dorsal attention,-35.9,-51.8,56.0,0.09136022468410256,5.130981221436156,6.998432889787389e-05,0.0001650899524839032,True
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,Dorsal attention,-14.9,-71.1,57.0,0.09754461789994708,4.559135825079056,0.00024315615510042934,0.00048149733683253333,True
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,Dorsal attention,-28.2,-61.2,62.3,0.058526012011792417,3.385591855280148,0.0032949685037707292,0.004863422145787054,True
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,Dorsal attention,-61.4,-23.3,32.8,0.1564235774951273,6.442138514108215,4.615652967378474e-06,1.7417558367465938e-05,True
74,17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-19.8,40.7,0.08524711468104247,3.4489377449971546,0.002863480233778899,0.004289858028133182,True
75,17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-31.3,44.4,0.17368224740636887,6.511103015622202,4.025132757168692e-06,1.54812798352642e-05,True
76,17Networks_LH_DorsAttnB_PostC_4,LH,DorsAttnB,PostC,Dorsal attention,-46.2,-29.1,43.8,0.09821872655942145,4.641784256908851,0.0002027540799430227,0.0004055081598860454,True
77,17Networks_LH_DorsAttnB_PostC_5,LH,DorsAttnB,PostC,Dorsal attention,-39.0,-37.5,49.8,0.13016996038192466,5.195257335676913,6.096047794598644e-05,0.00014601312082871,True
78,17Networks_LH_DorsAttnB_PostC_6,LH,DorsAttnB,PostC,Dorsal attention,-30.2,-46.3,62.7,0.06802982476181235,3.318262745027466,0.00382395134159483,0.005541958466079464,True
79,17Networks_LH_DorsAttnB_PostC_7,LH,DorsAttnB,PostC,Dorsal attention,-7.4,-58.5,63.1,0.1431537573696649,5.431859875671781,3.68166481956917e-05,9.501070502113987e-05,True
80,17Networks_LH_DorsAttnB_PostC_8,LH,DorsAttnB,PostC,Dorsal attention,-19.7,-56.5,66.3,0.056036394317770466,3.1593940446681827,0.005425376458913497,0.007641375294244361,True
81,17Networks_LH_DorsAttnB_PostC_9,LH,DorsAttnB,PostC,Dorsal attention,-12.9,-50.6,71.6,0.07532067078962351,4.439206532758901,0.0003167833976043311,0.0006005372466432817,True
82,17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,FEF,Dorsal attention,-40.3,-2.3,51.3,0.19421063523466242,5.399915481388876,3.939609551866837e-05,0.00010037221788195761,True
83,17Networks_LH_DorsAttnB_FEF_2,LH,DorsAttnB,FEF,Dorsal attention,-25.7,-0.5,55.2,0.09911183791210579,4.478806442026294,0.00029025910065152164,0.0005625635988313214,True
84,17Networks_LH_DorsAttnB_FEF_3,LH,DorsAttnB,FEF,Dorsal attention,-30.0,-8.0,51.7,0.0890045336784468,5.450216538201635,3.541340581455898e-05,9.319317319620785e-05,True
85,17Networks_LH_DorsAttnB_PrCv_1,LH,DorsAttnB,PrCv,Dorsal attention,-50.0,2.6,38.0,0.167023619409925,3.9671923820124695,0.0009035006738967277,0.0015510741182776441,True
86,17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,ParOper,Salience / ventral attention,-54.6,-32.0,22.2,0.11566966352881375,6.333223599817873,5.737078821294993e-06,2.067415791457655e-05,True
87,17Networks_LH_SalVentAttnA_ParOper_2,LH,SalVentAttnA,ParOper,Salience / ventral attention,-58.0,-44.2,27.3,0.18537613840181816,7.221289640917786,1.020489454283566e-06,5.516159212343599e-06,True
88,17Networks_LH_SalVentAttnA_ParOper_3,LH,SalVentAttnA,ParOper,Salience / ventral attention,-61.2,-36.1,33.3,0.2012569009915119,7.752536467735014,3.822656542899301e-07,2.5066600281306895e-06,True
