subid,cond,pmc_full,pmc_diag,pmc_ge1,pmc_ge2,pmc_ge3,pmc_ge4,pmc_ge5,pmc_ge6,pmc_ge7,pmc_ge8,pmc_ge9
sub-026,intact_tom,0.1392676911619984,0.2358226876618221,0.12853935821757356,0.10739891507215535,0.09065231277852434,0.07826304158752106,0.07270325186893449,0.06924159050430385,0.07756136600815068,0.10005857829595591,0.11332276181822447
sub-032,intact_tom,0.11964644119084611,0.20536106540434015,0.11012259405601343,0.09017647604671349,0.06966551348467333,0.04866648792691676,0.029393426674705642,0.013077278712883987,0.009312265968296929,0.01796410032940105,0.024524814028657787
sub-034,intact_tom,0.1066844845913429,0.21846707454002104,0.09426419681926755,0.06699626620378103,0.04006553097178776,0.014338878503253074,-0.0042971940673371435,-0.014826327475455425,-0.013692762511443886,-0.008857871440817707,0.005609518255845357
sub-036,intact_tom,0.04903291301005447,0.10847627268854151,0.04242809526800036,0.029440673744286376,0.019742315725534094,0.014365856477139631,0.016804720327442912,0.022679418172572654,0.03545252952931751,0.05570315650600884,0.0660407600963194
sub-038,intact_tom,0.061231775814669376,0.13704064024459015,0.0528085686557893,0.03384816043266235,0.016229488734587155,0.0028180821844721094,-0.004259390630786497,-0.007128125091153748,-0.009090944110990998,-0.01423940674788876,-0.022713186051245962
sub-048,intact_tom,0.06997826218748589,0.1905330404299765,0.05658328682720915,0.029151379944532502,0.004089512505306643,-0.019224225480699922,-0.04019135529578119,-0.059889338426370224,-0.06844596070273422,-0.06371972146756562,-0.05348785198166809
sub-049,intact_tom,0.08708579831562109,0.18884202549582066,0.07577955085115447,0.053360832097837145,0.031071548310529436,0.012950403180697083,0.0024553610207485622,-0.0018972517134243476,-0.006120099720912146,-0.0018997541883755261,-0.007234063451016626
sub-057,intact_tom,0.06467630900943071,0.1844799564008508,0.051364792632606265,0.025451444838366345,0.0052367827486220694,-0.007005075892186416,-0.013384947625799134,-0.010502068093147703,0.00378703841916345,0.018493774118764104,0.031111376396465256
sub-058,intact_tom,0.06683888492778355,0.13253085466778486,0.059539777178894505,0.04402514718091896,0.026526664863769502,0.006958339102395386,-0.008686349276175058,-0.02430955434315043,-0.04063496163133108,-0.0462476373925827,-0.053800085757493725
sub-059,intact_tom,0.09845999332926827,0.16680510807105756,0.09086609169129167,0.07517095766297152,0.059784982655073086,0.04471911998512148,0.033643511441732714,0.028841914469652848,0.0294725575261491,0.039924533392947326,0.040825939160471905
sub-060,intact_tom,0.11275253173022591,0.23631728152055598,0.09902311508685592,0.07044504741295239,0.04172166230956919,0.016457939007115067,-0.005286728594338682,-0.020553792597296557,-0.033343849410506554,-0.03158584636033723,-0.031771830112987114
sub-061,intact_tom,0.0831178256112407,0.15082389509341212,0.07559492900211055,0.05874219027140465,0.042024596421993486,0.02445437692179535,0.008290330394111489,-0.005516571427943549,-0.006689425874050172,-9.897303916811213e-05,0.004144545713073774
sub-062,intact_tom,0.1274660485288758,0.2309318568389551,0.11596984760553365,0.09271445899348618,0.0699953858036011,0.053175375602179525,0.039680280789266484,0.0319946611775954,0.02535467172065572,0.03046863513904244,0.026755403719867763
sub-075,intact_tom,0.0859866135905719,0.13374836563109427,0.08067975225273608,0.06900924594707022,0.05608346037912343,0.0452670090192918,0.03720672346796644,0.033535125897309385,0.027137836554350786,0.042676596015127695,0.05604813157839615
sub-091,intact_tom,0.11925122909141406,0.25503452869665055,0.10416419580194335,0.06951591753888992,0.032640801330774676,-0.0014511196108401897,-0.03133131289556529,-0.04997137815155296,-0.05410153540846718,-0.04220106672574947,-0.027925456349803503
sub-092,intact_tom,0.09022951453911478,0.20412057549992976,0.07757495221013533,0.05066078468618085,0.024139205174690287,0.0013057881690372683,-0.010654227399132622,-0.01606754622204002,-0.011855040657918686,0.0077521602286847084,0.023233230501339373
sub-093,intact_tom,0.08904719503975729,0.12183643159623418,0.08540394653348207,0.07456573919302058,0.06253868723230184,0.0542888284210275,0.05088988612116877,0.05054801441801922,0.048151503416548655,0.05870145245808456,0.07892629584939459
sub-095,intact_tom,0.06461505809518664,0.2042445549072026,0.04910066956051821,0.015961703520113682,-0.019534361259221426,-0.051326743333153596,-0.07535731926020998,-0.09306360141405634,-0.10076020891858059,-0.09647886201739868,-0.08393819575991626
sub-101,intact_tom,0.12076123554317142,0.23467284628899887,0.10810438990474616,0.08273115534016746,0.058953949868511275,0.04014447937234792,0.0292793711634377,0.027104291820807164,0.032626513452424476,0.05077187421912857,0.0766326011054802
sub-023,scram_pause,-0.033838900545002264,-0.02849349205417177,-0.03443283482176121,-0.03717655179813893,-0.039847177290894015,-0.04067856905983791,-0.04218024865873154,-0.046051908690506856,-0.04431846627877317,-0.03958984630910698,-0.0391951658609591
sub-024,scram_pause,0.11063354533705518,0.13615392646042934,0.10779794743445807,0.10270387754279853,0.09696044293734012,0.09277554272360578,0.09210980850265002,0.0920098556328294,0.09749566742502645,0.09983581368700356,0.08263343156763397
sub-025,scram_pause,0.06328520544566421,0.06286801925431573,0.06333155946692516,0.06298424152041532,0.06473572465305362,0.06583625087976797,0.07048982165884887,0.07745601022815628,0.08417766882979771,0.09915515723475021,0.09194937725102338
sub-031,scram_pause,0.0935935964374136,0.10212821548675194,0.09264530543193158,0.09238542170108033,0.08661555172108004,0.08239086491391563,0.07700067553569934,0.0817750297385347,0.08230148926202037,0.08140145186303047,0.0786740172429507
