parcel_id,full_label,hemisphere,network,subregion,x_mni,y_mni,z_mni
232,17Networks_RH_SomMotA_9,RH,SomMotA,,31.0,-40.6,64.0
233,17Networks_RH_SomMotA_10,RH,SomMotA,,34.1,-27.2,61.0
234,17Networks_RH_SomMotA_11,RH,SomMotA,,4.4,-24.7,58.4
235,17Networks_RH_SomMotA_12,RH,SomMotA,,28.7,-10.9,64.8
236,17Networks_RH_SomMotA_13,RH,SomMotA,,9.2,-40.1,68.0
237,17Networks_RH_SomMotA_14,RH,SomMotA,,21.2,-24.4,66.0
238,17Networks_RH_SomMotA_15,RH,SomMotA,,22.2,-28.9,67.9
239,17Networks_RH_SomMotA_16,RH,SomMotA,,22.3,-35.0,70.4
240,17Networks_RH_SomMotA_17,RH,SomMotA,,16.8,-6.2,69.5
241,17Networks_RH_SomMotA_18,RH,SomMotA,,5.5,-22.0,71.7
242,17Networks_RH_SomMotA_19,RH,SomMotA,,16.3,-18.4,72.6
243,17Networks_RH_SomMotA_20,RH,SomMotA,,12.8,-32.9,75.6
244,17Networks_RH_SomMotB_Aud_1,RH,SomMotB,Aud,53.1,2.6,-5.6
245,17Networks_RH_SomMotB_Aud_2,RH,SomMotB,Aud,53.5,-13.7,5.7
246,17Networks_RH_SomMotB_Ins_1,RH,SomMotB,Ins,39.8,-18.4,4.8
247,17Networks_RH_SomMotB_S2_1,RH,SomMotB,S2,37.9,-7.9,13.8
248,17Networks_RH_SomMotB_S2_2,RH,SomMotB,S2,34.8,-21.5,14.3
249,17Networks_RH_SomMotB_Aud_3,RH,SomMotB,Aud,60.1,-23.7,10.8
250,17Networks_RH_SomMotB_S2_3,RH,SomMotB,S2,40.9,-13.1,18.2
251,17Networks_RH_SomMotB_S2_4,RH,SomMotB,S2,41.5,-28.9,18.0
252,17Networks_RH_SomMotB_S2_5,RH,SomMotB,S2,49.5,-10.0,12.9
253,17Networks_RH_SomMotB_S2_6,RH,SomMotB,S2,59.2,0.7,10.4
254,17Networks_RH_SomMotB_S2_7,RH,SomMotB,S2,49.0,-21.3,18.5
255,17Networks_RH_SomMotB_S2_8,RH,SomMotB,S2,61.8,-11.5,15.3
256,17Networks_RH_SomMotB_Cent_1,RH,SomMotB,Cent,60.7,6.4,29.3
257,17Networks_RH_SomMotB_Cent_2,RH,SomMotB,Cent,59.2,-5.3,27.2
258,17Networks_RH_SomMotB_Cent_3,RH,SomMotB,Cent,51.5,-6.4,37.2
259,17Networks_RH_DorsAttnA_TempOcc_1,RH,DorsAttnA,TempOcc,33.5,-36.5,-22.9
260,17Networks_RH_DorsAttnA_TempOcc_2,RH,DorsAttnA,TempOcc,49.8,-49.3,-18.1
261,17Networks_RH_DorsAttnA_TempOcc_3,RH,DorsAttnA,TempOcc,50.1,-64.5,-9.3
262,17Networks_RH_DorsAttnA_ParOcc_1,RH,DorsAttnA,ParOcc,48.6,-65.7,4.3
263,17Networks_RH_DorsAttnA_ParOcc_2,RH,DorsAttnA,ParOcc,53.7,-55.6,12.4
264,17Networks_RH_DorsAttnA_ParOcc_3,RH,DorsAttnA,ParOcc,35.6,-79.3,24.2
265,17Networks_RH_DorsAttnA_SPL_1,RH,DorsAttnA,SPL,28.9,-77.8,36.7
266,17Networks_RH_DorsAttnA_SPL_2,RH,DorsAttnA,SPL,31.6,-66.5,35.4
267,17Networks_RH_DorsAttnA_SPL_3,RH,DorsAttnA,SPL,18.6,-79.0,50.2
268,17Networks_RH_DorsAttnA_SPL_4,RH,DorsAttnA,SPL,30.9,-63.8,53.0
269,17Networks_RH_DorsAttnA_SPL_5,RH,DorsAttnA,SPL,20.9,-68.6,52.9
270,17Networks_RH_DorsAttnA_SPL_6,RH,DorsAttnA,SPL,34.0,-50.6,54.3
