roi,condition,n,theta_z,se_group_mean_z,ci_lo,ci_hi,sign_flip_p,direction,mean_r_raw,mean_r_back_tx,ci_boot_lo,ci_boot_hi,passes
AG,IT-IP,19,-0.02888616120850571,0.013812581134947531,-0.05595882023300287,-0.0018135021840085495,0.974002599740026,greater,-0.028299543233889526,-0.028878129585592535,-0.05113914154215859,-0.007918858155562163,False
PCC,IP-IP,19,0.13067868039428646,0.009451950708796867,0.1121528570050446,0.14920450378352831,9.999000099990002e-05,greater,0.12796359188396442,0.12993986365410026,0.10992908134867174,0.1512910706705746,True
PCC,SP-SP,19,0.09551281492997699,0.01394247581607444,0.06818556233047109,0.12284006752948289,9.999000099990002e-05,greater,0.09393509857821247,0.0952234260377051,0.07926872500397635,0.11178283834701433,True
PCC,IT-IT,19,0.1962109348174319,0.01205508872099973,0.17258296092427244,0.21983890871059136,9.999000099990002e-05,greater,0.1909266346398075,0.19373115780665287,0.1691934496392994,0.2239823061390279,True
PCC,IT-IP,19,0.10436724296937162,0.012982298733420241,0.07892193745186796,0.1298125484868753,9.999000099990002e-05,greater,0.10250225939588253,0.10398994596109881,0.07279937543123867,0.1368843568823124,True
dmPFC,IP-IP,19,0.09766833101974576,0.008099826086513509,0.08179267189017927,0.11354399014931224,9.999000099990002e-05,greater,0.09628854788926455,0.09735895534665555,0.08063417408050146,0.1148241694914813,True
dmPFC,SP-SP,19,0.062307353768044096,0.010092513230673712,0.04252602783592362,0.08208867970016456,0.00019998000199980003,greater,0.06173802513388945,0.06222684877938191,0.050872084748847565,0.07364823526228614,True
dmPFC,IT-IT,19,0.17770543644934442,0.010784584047809248,0.1565676517156383,0.19884322118305053,9.999000099990002e-05,greater,0.17389232691181453,0.1758581672570893,0.15630919884702338,0.20398003502575984,True
dmPFC,IT-IP,19,0.039848013187421726,0.01181680186048317,0.016687081540874716,0.06300894483396874,0.0022997700229977,greater,0.03929888234347758,0.039826935497461295,0.02045082828327199,0.05978271972134904,True
vmPFC,IP-IP,19,0.027708502851083294,0.006470377078736315,0.015026563776760118,0.04039044192540647,0.005599440055994401,greater,0.027207085896368454,0.027701413857647968,0.005357091859356752,0.05228301951619934,True
vmPFC,SP-SP,19,0.04013419149465499,0.008250328510382786,0.02396354761430473,0.05630483537500525,0.0012998700129987,greater,0.039394109915965266,0.040112656608679714,0.015630640943245205,0.0654598555359025,True
vmPFC,IT-IT,19,0.08852250637464334,0.0054985121077661585,0.07774542264342167,0.09929959010586502,9.999000099990002e-05,greater,0.08708499579390987,0.0882920011694096,0.06344958378924072,0.11693659448479286,True
vmPFC,IT-IP,19,0.007891911499288709,0.005013821272204083,-0.0019351781942312934,0.01771900119280871,0.06779322067793221,greater,0.007436649153910645,0.007891747661323712,-0.016687946521093365,0.03804305220589292,False
PMC,IP-IP,19,0.11923546337059775,0.012988712371780946,0.09377758712190709,0.1446933396192884,9.999000099990002e-05,greater,0.11661607614453366,0.11867359772793958,0.09752475578888145,0.14077218298757405,True
PMC,SP-SP,19,0.08284178112674513,0.012860383391325619,0.05763542967974692,0.10804813257374335,0.00019998000199980003,greater,0.08129899356727996,0.08265279213101212,0.06587660037352286,0.0984448204051926,True
PMC,IT-IT,19,0.19096848858590545,0.010667878181606073,0.17005944734995754,0.21187752982185337,9.999000099990002e-05,greater,0.18632047693041257,0.18868038639661855,0.16943584827787964,0.2133630966593126,True
PMC,IT-IP,19,0.04620534892460411,0.01037550607726011,0.025869357013174294,0.06654134083603393,0.0005999400059994001,greater,0.04561975150859283,0.046172495186267135,0.02258027113640617,0.07005698614145826,True
