roi,condition,n,mean_match,mean_mismatch,mean_diff,sd_diff,t,df,p_paired,p_perm,ci_lo,ci_hi,cohens_d,passes
dlPFC,IT-IT,19,0.1442883260682581,0.08284520513050574,0.06144312093775237,0.0161681682558792,16.56491636558905,18,2.4230439037455574e-12,9.999000099990002e-05,0.054024337104900885,0.06829475928030479,3.8002524445160897,True
dlPFC,IT-IP,19,0.013941290025709225,0.007102658144124897,0.00683863188158432,0.01001319200681834,2.9769633163534177,18,0.008079922510482502,0.17298270172982702,0.0022789332166933945,0.011126696213066695,0.6829622239269607,False
AG,IP-IP,19,0.13035939504711508,0.12543998580729174,0.00491940923982332,0.015189421042324087,1.4117198857389193,18,0.17508589652318038,0.31296870312968705,-0.001473839653192485,0.011685571041259423,0.3238707536064598,False
AG,SP-SP,19,0.09893459439908418,0.09136189795809387,0.0075726964409903175,0.015021086146185003,2.197485467771604,18,0.04131505114001001,0.19488051194880512,0.0011748382521853862,0.014173218518172838,0.5041377412587172,False
AG,IT-IT,19,0.12977951076556357,0.07123963013553355,0.05853988063002999,0.022816817077863497,11.183392624942242,18,1.5558194676187563e-09,9.999000099990002e-05,0.04851099160686347,0.06839391685032081,2.5656462262137527,True
AG,IT-IP,19,-0.028299543233889526,-0.03295101022389892,0.004651466990009387,0.01649387996092113,1.2292604648939087,18,0.23480185220876237,0.2866713328667133,-0.0029145094099155924,0.011446716432968757,0.282011691671704,False
PCC,IP-IP,19,0.12796359188396442,0.11213992837529431,0.015823663508670115,0.015186056719541999,4.54191311310771,18,0.0002525555333145544,0.0301969803019698,0.008868772060104922,0.022285593619762338,1.0419863300199332,True
PCC,SP-SP,19,0.09393509857821247,0.07855285171456226,0.015382246863650207,0.01753060582819061,3.8247200502007486,18,0.0012411013872799623,0.025597440255974404,0.007605439765282815,0.022978751388334,0.8774509571662565,True
PCC,IT-IT,19,0.1909266346398075,0.11136251414753243,0.07956412049227506,0.026362198855737033,13.155653769831352,18,1.1329803895068909e-10,9.999000099990002e-05,0.06798798156646772,0.09072275379389658,3.0181139641528816,True
PCC,IT-IP,19,0.10250225939588253,0.0827636101374656,0.019738649258416955,0.012339550659887821,6.9726021449970474,18,1.6372647661321453e-06,0.009799020097990201,0.014484354894751706,0.025332001538554503,1.599624638081951,True
dmPFC,IP-IP,19,0.09628854788926455,0.08232530762154613,0.013963240267718424,0.016035535689452887,3.7955921417327496,18,0.0013243349170158191,0.026497350264973504,0.0070348842921902155,0.02097300394704184,0.870768556668956,True
dmPFC,SP-SP,19,0.06173802513388945,0.056825219357177194,0.004912805776712254,0.018855839884509396,1.135691862101784,18,0.27098160905796526,0.19688031196880312,-0.0030984395519898546,0.01331766413489104,0.2605455819949056,False
dmPFC,IT-IT,19,0.17389232691181453,0.15256277845443406,0.021329548457380484,0.01550766106415649,5.995317143728954,18,1.1378593375605809e-05,0.0011998800119988001,0.01433813043320376,0.02804396096940998,1.3754200823153382,True
dmPFC,IT-IP,19,0.03929888234347758,0.028940647355063732,0.010358234988413859,0.012050515650021031,3.746769089326432,18,0.0014765339209041382,0.06469353064693531,0.005118079797137458,0.015460605815578827,0.8595677802713596,False
vmPFC,IP-IP,19,0.027207085896368454,0.014083413703981952,0.013123672192386505,0.02888521820081507,1.9804164350454336,18,0.06315077354958872,0.025597440255974404,-3.3846834872608195e-05,0.025323975633951157,0.45433868981526987,True
vmPFC,SP-SP,19,0.039394109915965266,0.01848253677238827,0.02091157314357699,0.02720761026268629,3.3502183103644474,18,0.0035632065765624963,0.0006999300069993001,0.009752043749654013,0.03340763119900365,0.7685927922988532,True
vmPFC,IT-IT,19,0.08708499579390987,0.0621236615172639,0.02496133427664595,0.014475121602579334,7.5166162050375975,18,5.884554863923058e-07,0.00019998000199980003,0.018716154760959815,0.031250375919345465,1.7244300229020577,True
vmPFC,IT-IP,19,0.007436649153910645,-0.013296100600330988,0.020732749754241633,0.023752576606858103,3.804722430591544,18,0.0012976619140595107,0.0012998700129987,0.010543713523046668,0.03154131543737118,0.8728631885879465,True
PMC,IP-IP,19,0.11661607614453366,0.08215080170977632,0.03446527443475731,0.027726508184855246,5.418303932139637,18,3.788942533100656e-05,0.00019998000199980003,0.022244598843528248,0.046288055397660066,1.2430441729255655,True
PMC,SP-SP,19,0.08129899356727996,0.06606089533936343,0.01523809822791654,0.022303685496293243,2.9780428117260396,18,0.008061004939090387,0.026597340265973404,0.005020526596682333,0.024770895071793357,0.6832098771500805,True
PMC,IT-IT,19,0.18632047693041257,0.1105259334959422,0.07579454343447041,0.025754257937134966,12.82819936451308,18,1.710852672910946e-10,9.999000099990002e-05,0.06473363339901786,0.08696792665470761,2.9429907714476427,True
PMC,IT-IP,19,0.04561975150859283,0.024291615101760092,0.02132813640683274,0.01848503495645233,5.029321906636901,18,8.713642978704912e-05,0.0033996600339966003,0.013380545186348394,0.029673637928625395,1.1538055760823975,True
