parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,-0.13171062002093867,-2.1256520206462706,0.0476299244461954,0.06371896246982661,False
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,-0.2637206099421368,-6.926423543293104,1.7891397565547386e-06,1.4032468678860694e-05,True
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,-0.030577709062198765,-0.5296173823416074,0.6028489979695435,0.6257407225598973,False
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,0.03025992268043158,0.613733756815282,0.547069885571392,0.5851014818945369,False
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,0.06702399295803367,1.8332264587443587,0.08336106847085756,0.10420133558857195,False
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,0.07357379943318365,2.1521430533553816,0.045205037472385204,0.06108788847619622,False
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,0.015564131702051334,0.36017463113212556,0.7229081369692916,0.739547966208994,False
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,0.12447736353673661,3.726320491260952,0.001545352859178579,0.003593843858554835,True
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,0.07391523068562611,2.1190720912004517,0.0482503347173557,0.06433377962314094,False
61,17Networks_LH_DorsAttnA_TempOcc_2,LH,DorsAttnA,TempOcc,Dorsal attention,-32.2,-41.4,-21.0,0.09466496847426235,2.5458645445845676,0.020274269806772896,0.031555283745950034,True
62,17Networks_LH_DorsAttnA_TempOcc_3,LH,DorsAttnA,TempOcc,Dorsal attention,-48.7,-55.7,-15.5,0.1856956897370324,4.083568718659023,0.0006972528916428848,0.0018489744492668188,True
63,17Networks_LH_DorsAttnA_TempOcc_4,LH,DorsAttnA,TempOcc,Dorsal attention,-45.2,-70.0,-8.3,0.13640827959114815,3.8032653422239635,0.0013018823515472267,0.003099719884636254,True
64,17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnA,ParOcc,Dorsal attention,-47.9,-65.3,14.9,0.035016893735201664,0.9229924955589861,0.3682187831201066,0.4079986516566278,False
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,Dorsal attention,-31.8,-84.1,27.0,0.13751227989252995,3.634884841299863,0.0018943048898106337,0.004305238385933259,True
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,Dorsal attention,-26.4,-70.1,30.4,0.20845513439433752,5.010840853358843,9.068902359704497e-05,0.00037787093165435407,True
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,Dorsal attention,-21.2,-78.6,44.7,0.2299814960549669,4.844760132921368,0.00013006224420068185,0.0005002394007718533,True
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,Dorsal attention,-22.7,-65.5,46.4,0.21354448249847727,4.53224076562659,0.00025799501483341484,0.0008190317931219518,True
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,Dorsal attention,-28.7,-58.0,50.6,0.21846031155388382,4.30817468817833,0.00042335516871182667,0.0012360734852900049,True
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,Dorsal attention,-35.9,-51.8,56.0,0.1897548060367399,3.256514229868456,0.004382060637843563,0.008467750024818478,True
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,Dorsal attention,-14.9,-71.1,57.0,0.1541679771013223,3.844320096904825,0.0011880568724550403,0.002915476987619731,True
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,Dorsal attention,-28.2,-61.2,62.3,0.1296329527370721,2.584293486342432,0.018706478813746038,0.02945902175393077,True
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,Dorsal attention,-61.4,-23.3,32.8,0.09395934323001857,2.007906085306866,0.05990317186043833,0.07779632709147835,False
